나이,월급,월별야근횟수,이직여부
27,4692366,4,0
28,4161888,8,1
40,5742283,10,0
39,5111954,8,1
32,3881107,5,0
23,4353001,7,1
26,4747125,4,0
27,5553690,11,1
57,4498966,3,1
53,4012038,9,1
53,4709263,2,0
44,4367797,9,1
29,3402833,7,1
22,5219276,8,1
39,3752177,3,1
23,4803011,5,0
59,3297374,2,1
35,5242940,6,0
56,4235572,9,0
56,4261717,7,0
58,3275536,7,1
42,4317716,7,1
37,4618686,3,1
40,3898137,8,1
43,3177913,4,1
23,5281366,6,0
51,4728487,3,0
30,5039797,7,0
38,2609158,4,0
33,5320792,7,0
58,3425563,2,0
55,5913661,10,1
48,4668090,4,1
52,4573838,4,1
44,4239757,5,1
51,4733576,4,1
53,3847446,2,1
35,4710427,0,1
48,5241293,2,1
41,5096863,5,0
32,2532886,5,1
30,6606524,6,0
44,4577115,6,0
39,4458439,7,1
26,5290135,6,0
26,4751255,9,1
45,6641559,4,1
37,5628515,4,0
53,3955073,6,0
46,4765046,7,0
23,5232984,6,1
30,4491756,5,0
29,3464344,4,1
40,5193870,7,1
50,3944433,7,0
59,3595873,3,1
43,4409680,4,0
33,3798191,6,1
26,3522893,5,1
47,5071347,4,1
48,5105566,5,0
58,3823644,11,1
50,5234505,5,0
47,5831088,6,1
25,4475090,11,0
27,4698998,5,0
37,5422460,9,0
40,4247011,6,0
39,3660877,3,0
46,4104703,9,0
48,4197165,7,0
47,3916307,4,0
25,5859493,8,0
22,4787191,8,1
43,4353847,7,0
41,6830059,5,0
23,5445473,2,0
27,4575669,4,1
23,5090769,5,0
23,4152849,10,1
58,5946120,1,0
47,5547520,3,0
27,4702403,2,0
46,4934534,3,1
57,4883484,4,0
24,4486398,9,1
59,3794418,8,0
52,2658862,7,1
54,4095844,5,1
57,4977009,3,1
38,2500000,4,1
46,3550431,7,0
45,5843072,5,1
49,3138520,8,1
59,5420486,8,0
59,4783785,9,0
43,4661988,6,0
30,3536135,7,1
56,4778943,2,0
44,5799577,8,0
54,4081277,9,1
22,3311554,4,1
54,3547352,3,0
40,2885133,6,0
34,4017424,6,0
54,5196581,5,1
52,4357601,10,1
46,3572968,3,0
58,4267760,5,0
31,4658706,8,1
29,3574208,5,0
37,4449277,6,0
49,4675166,8,0
24,3519241,6,0
56,4618972,1,1
33,5911909,4,0
27,4864939,8,1
34,3713598,4,0
26,5308573,8,1
52,5924180,3,1
40,4289461,11,0
58,3448462,6,1
48,4715493,8,0
23,3404866,7,1
22,6164272,2,1
26,4769604,4,0
45,3666639,10,0
38,5477495,4,1
25,4526625,3,0
55,6062087,2,1
49,4283159,6,1
35,3368474,8,0
49,6011895,9,0
50,4858457,6,1
49,4039119,5,1
34,4888704,5,1
25,4948080,5,0
55,3793863,6,1
30,4285302,2,0
41,4751401,3,0
46,4335859,2,1
24,4283041,5,0
35,5099137,4,1
33,3971226,4,0
55,5428128,7,1
49,3435793,2,1
57,3494416,9,1
41,4760122,5,1
28,4616590,1,0
34,5997399,3,0
22,4465148,5,1
43,5973714,2,0
22,4166098,6,0
35,4840471,6,1
59,5201695,6,1
29,3229963,8,0
49,4742904,2,0
40,4299791,5,1
25,4366659,9,0
35,4650642,5,0
50,4201782,6,0
46,4391527,10,0
24,4301836,2,0
35,4625736,8,0
23,3873967,4,1
26,4587436,4,0
59,3503515,0,0
46,4728134,6,0
45,4269655,7,0
27,4871706,4,1
35,5079986,5,0
29,5141301,10,0
29,4983117,4,0
36,5575420,2,0
59,4965956,3,0
59,2632908,7,1
59,2954152,5,0
51,4170514,5,0
25,3905116,6,1
43,4180815,5,1
32,4563361,6,0
27,4144034,5,0
59,4338789,9,1
42,5292790,5,0
27,5164640,4,0
35,5111730,5,0
30,4643609,5,0
38,2786400,7,0
59,3957154,5,0
39,5373633,6,0
42,4752089,2,1
32,3913188,0,1
53,4343226,9,1
53,2926208,5,0
52,4991371,4,0
59,4796596,11,1
35,3778799,8,0
51,3580772,1,1
57,6142481,5,0
49,3142746,9,1
34,4555946,6,0
40,4767555,3,1
30,4641259,4,1
35,5812283,8,0
23,5360998,4,0
43,3462189,5,1
33,4385614,5,0
46,3940098,5,1
59,5002270,3,1
39,4098628,5,0
33,4405274,5,1
30,6173391,6,0
51,4272785,9,1
34,6043933,3,0
53,4706765,6,0
58,3570014,6,1
36,3815171,5,1
32,3963041,7,0
32,4513352,8,0
53,5738930,4,1
37,4517854,10,1
45,5085968,4,0
31,3974938,6,1
30,3580008,6,1
44,3408548,6,0
40,3626712,7,1
57,5433981,5,0
35,3900941,9,0
40,4478326,9,1
27,4304562,7,0
27,4000069,1,0
46,3966147,6,1
47,4748558,1,1
54,5134230,5,0
56,5276882,7,1
59,5179688,1,1
37,4212456,7,1
44,3698925,3,0
32,5320021,6,1
50,3343358,4,1
57,2775720,7,0
48,4512013,5,0
53,4763664,4,1
26,5718757,4,1
28,3979472,6,0
25,3752010,7,1
23,4423566,7,1
50,5104913,7,1
29,4865866,5,0
46,3036574,5,1
35,4670336,4,0
36,5541202,6,0
54,4555982,8,1
51,3951052,7,1
44,3295312,7,1
38,2500000,7,1
54,4348822,6,1
22,4328266,5,0
54,3805787,4,1
48,4592465,4,1
45,2510458,2,0
54,2500000,8,1
53,3871377,8,0
59,4817530,7,1
33,4389881,8,1
41,3177563,6,1
58,4193696,5,0
45,4790805,5,0
55,5642775,3,0
57,4848037,5,1
44,4811079,3,0
52,4196076,4,1
39,4427575,3,0
51,7419807,4,1
25,3711032,6,0
50,4855350,4,1
29,4364305,10,0
52,5869254,1,0
22,3103191,10,1
55,5273790,3,0
39,3203122,14,0
43,5284817,9,1
59,4796746,9,1
31,5081411,7,0
32,5385973,9,1
52,5628118,6,1
31,4867329,8,1
38,4626786,3,0
38,4446153,4,1
50,5312560,5,1
58,4839792,8,1
22,4286949,5,1
30,2760051,7,1
35,4682293,4,1
53,4406652,4,0
48,2894140,6,1
23,5886890,6,0
56,4080876,5,0
27,4447769,6,0
58,4832873,3,1
49,5114564,6,1
28,3700542,9,1
37,3352959,4,1
30,2500000,3,1
56,3759528,9,1
41,4477210,5,1
50,4406911,5,0
40,4185968,12,0
50,5099398,7,1
58,5590451,4,0
53,4199369,6,0
53,4525740,5,1
40,4800193,6,1
58,5330607,8,0
37,4150959,5,1
22,3215859,7,1
49,3854999,6,1
55,4741511,7,1
43,3682454,7,0
35,4141582,4,0
44,3962892,8,1
53,2500000,8,1
49,4794489,2,0
26,4995356,3,0
27,3838821,8,0
24,5359447,3,1
58,5375709,4,0
49,4572692,3,0
41,3792495,5,1
47,4666530,6,0
55,4766599,6,0
33,3557834,4,0
32,5534241,5,0
54,4742094,3,0
53,5338965,3,0
39,3698111,4,0
37,6160861,6,0
56,4689837,9,1
25,4826649,3,1
24,4014548,16,1
30,4991495,5,0
24,3348754,14,1
45,4115445,4,0
28,5837048,4,0
44,3888355,6,1
48,4679726,6,1
50,3296275,10,1
59,4298152,6,1
45,3239609,8,1
30,3806501,8,1
23,6352683,7,0
59,4320850,2,0
31,3390931,4,1
46,4089426,6,0
43,5104504,5,1
26,4861970,7,0
39,4658411,8,1
39,6264527,5,1
27,3536972,6,1
48,4346212,2,1
32,4294803,5,1
30,5255430,4,0
32,2500000,7,1
30,3321612,9,1
46,4718219,10,0
25,3791921,6,0
38,5266233,6,0
33,4474960,7,1
54,3594478,7,1
47,4305136,7,1
57,3714428,5,1
51,5617323,4,0
38,5939326,4,0
22,6504947,4,0
45,4467935,11,1
53,5680062,7,0
42,6414835,8,0
57,4434095,1,0
32,6590801,6,0
34,4101137,11,0
56,4289637,6,0
31,4212575,10,1
49,4184202,6,1
41,4287613,4,0
59,2500000,4,1
23,4946686,3,1
35,4518706,4,0
53,3136019,4,1
41,4515481,7,0
33,4865768,5,1
26,5763120,6,0
26,3690780,4,0
31,4286641,10,0
28,5744171,3,0
26,4560002,7,0
52,3848480,5,1
40,4670719,5,0
29,2860977,5,0
42,4743952,5,0
43,3429321,6,1
29,4312528,8,1
53,4512693,3,0
30,3760491,4,1
44,4218692,8,1
25,6341164,9,1
27,4399729,6,0
46,2515317,7,1
36,4401120,6,0
59,5465234,7,0
22,3063896,3,1
55,4318973,7,1
44,5767635,7,0
49,4881644,2,0
51,5513002,7,1
35,4394151,12,0
25,4101053,6,0
57,3693647,7,1
46,5970216,7,0
33,4882914,4,0
40,4611689,8,0
53,4116364,6,0
27,5410971,9,0
46,6635037,7,0
55,3236387,7,1
48,2752518,4,0
39,4517203,9,1
50,4110585,5,1
47,5315603,6,1
54,3874900,5,0
40,4992991,2,1
28,3971101,4,1
25,5158333,4,1
55,4877143,7,0
57,3976578,7,1
50,4726601,5,1
38,3886056,4,1
24,3435087,5,0
35,3452643,7,0
34,4816193,4,0
45,4112406,8,0
36,3646164,7,0
57,3348576,8,1
41,2533233,5,1
22,5335567,4,0
37,3510719,2,0
51,4025327,5,0
32,4506537,2,1
48,4983703,3,0
38,3202925,10,1
56,5177445,4,1
36,5313136,4,1
53,6084519,4,0
53,3344140,6,1
38,4085768,4,0
57,3900781,5,1
42,3824980,8,0
32,4869249,3,0
33,6495021,8,0
38,5763129,5,1
43,3945499,5,1
28,5168467,4,0
43,4661766,7,0
43,3843221,5,1
46,6386779,7,0
55,5094580,3,1
33,3939450,6,0
46,5267799,6,0
52,5124537,10,0
22,5763090,7,0
55,4258313,10,1
37,5587947,2,0
54,4339313,5,0
47,4887593,4,1
32,5277499,7,1
33,2500000,7,1
57,4245334,6,0
37,3372170,8,1
37,6222112,3,0
39,4754201,3,0
28,4647376,5,1
28,4040986,4,1
27,6073410,5,0
53,5610287,8,1
26,3209013,5,0
28,4822816,4,0
32,4717745,4,0
57,4262559,6,0
49,5164780,4,0
47,5292424,7,0
32,5859785,7,0
33,4321298,8,0
43,3648593,6,0
59,4100212,12,0
51,4732727,10,0
55,5074297,4,1
48,4037116,8,0
43,3869202,8,0
39,4569676,3,1
57,3509733,3,0
35,6274037,7,1
36,4795618,4,0
39,4038888,3,0
52,3701942,6,1
42,4676112,4,0
40,3209472,6,1
52,4292098,6,0
28,5426745,3,0
51,3479806,2,1
22,5897891,11,0
27,4218762,7,1
28,4881572,5,0
35,3015647,7,1
44,5554601,6,0
41,3322883,2,1
26,5102883,6,1
23,4337080,10,0
26,3397858,5,1
30,3114241,6,0
47,5340340,3,0
56,4206096,9,1
51,4976208,9,1
46,5279294,5,0
46,4071988,6,0
52,5455893,4,0
33,5628574,9,1
56,3803176,6,0
32,5076546,8,0
49,3879379,7,1
39,5587874,6,0
34,5326498,6,0
50,5067461,8,1
23,4818554,5,0
51,4446333,4,1
42,3964515,15,0
36,4706968,1,1
59,4309920,4,0
51,4419527,8,1
31,4864122,3,1
51,4291621,8,0
38,4335024,5,0
30,3135870,4,0
38,6247458,5,0
52,4484212,6,0
35,4039991,4,1
40,5889145,7,1
59,4315035,5,0
45,5967595,6,0
49,4601779,6,1
38,5295804,6,1
52,4798394,8,1
23,5521620,7,0
31,3904410,1,0
50,5776684,3,1
58,4951486,2,0
24,4466576,9,0
45,5368176,7,0
57,4758411,2,1
34,4974805,4,0
34,4462744,6,1
22,3517570,2,0
53,5456855,4,1
27,4274918,2,0
40,5835624,2,1
44,3300664,7,0
31,3681942,4,1
56,5232971,5,0
45,5819312,10,0
41,5610990,5,0
38,4159054,11,1
53,4977722,5,0
34,5276072,1,0
26,4748784,9,1
53,5113684,3,1
56,4279437,6,0
25,5089980,5,1
22,4070722,11,1
29,5581306,6,1
24,4227409,5,1
53,4500014,2,1
26,4045993,3,0
58,5292383,3,1
54,4100461,7,0
30,2922209,2,1
57,4756607,6,0
50,5479071,8,1
29,4974475,5,0
35,4984836,2,0
51,3428450,10,0
48,5618441,3,1
36,4575631,5,0
23,6600768,5,0
58,5544739,6,0
57,3086989,3,1
39,3578120,2,0
40,3727209,8,1
56,3521101,6,1
52,4485622,5,0
49,6356765,3,1
41,5317530,1,0
22,3971600,4,0
30,4878837,4,1
53,4019596,6,0
53,4705023,3,0
22,4995247,2,0
45,5574885,7,0
49,4878727,6,1
41,4768380,7,1
51,4221824,3,0
29,4732747,4,0
23,5030596,5,0
38,2500000,4,1
45,3903109,5,0
50,4441362,3,0
40,5786554,3,0
26,4949534,6,1
40,3607847,2,0
46,3847970,7,0
49,5697329,4,1
46,4140911,1,1
53,4955412,3,0
51,4992142,1,1
28,4674059,5,0
47,4600637,5,1
47,5554085,1,1
49,4470347,3,0
44,5221717,7,0
54,4296683,8,0
22,3484198,3,1
30,3165628,3,0
41,3647552,6,0
