order_date,메뉴,매출액
2021.01.13,아메리카노,3500
2025.04.15,자몽주스,5200
2023.12.26,쿠키,2000
2020.07.04,라떼,4800
2016.11.14,라떼,4500
2020.02.23,샌드위치,6000
2025.05.10,자몽주스,5200
2017.10.05,스콘,3200
2016.06.04,레몬에이드,4800
2025.02.07,스콘,3200
2018.07.23,에스프레소,2700
2019.09.15,커피,4000
2016.06.14,커피,3500
2017.03.06,카푸치노,4200
2015.02.18,홍차,3800
2023.02.11,오렌지주스,4900
2021.12.13,스콘,2700
2020.08.08,쿠키,2000
2024.07.21,머핀,3500
2017.10.23,바닐라라떼,5300
2020.12.12,샌드위치,5000
2019.03.20,샌드위치,6000
2020.12.08,콜드브루,5000
2017.04.16,케이크,6300
2017.06.13,머핀,3200
2024.07.18,케이크,6000
2021.07.30,카푸치노,4200
2025.04.05,오렌지주스,4900
2018.07.17,레몬에이드,4500
2017.06.12,바닐라라떼,4500
2016.07.02,티,3200
2023.02.24,라떼,4500
2019.05.08,에스프레소,3000
2024.05.01,샌드위치,5500
2023.11.10,카푸치노,4200
2019.07.08,커피,3500
2017.04.03,쿠키,2800
2019.01.04,오렌지주스,4700
2022.11.26,머핀,3800
2023.07.03,레몬에이드,4800
2022.09.09,바닐라라떼,5500
2015.10.16,스콘,2700
2015.04.10,아메리카노,4000
2021.03.09,머핀,3500
2020.05.25,카푸치노,4200
2017.01.25,에스프레소,2700
2016.12.07,콜드브루,5000
2025.05.24,에스프레소,3000
2015.09.11,카푸치노,4800
2020.03.07,라떼,5000
2016.02.01,레몬에이드,4800
2020.03.27,샌드위치,5500
2018.12.23,샌드위치,5200
2021.09.27,오렌지주스,4700
2022.02.09,아메리카노,4000
2017.03.31,콜드브루,5000
2020.02.03,오렌지주스,5500
2019.02.25,자몽주스,4900
2021.10.13,콜드브루,4500
2020.09.30,커피,4000
2025.01.06,라떼,5000
2024.06.10,자몽주스,5200
2021.09.21,바닐라라떼,5000
2021.07.22,레몬에이드,5300
2023.07.20,녹차,3800
2025.03.21,에스프레소,3300
2023.05.02,콜드브루,5500
2025.06.21,자몽주스,4900
2025.01.20,레몬에이드,4800
2022.10.16,오렌지주스,5700
2019.11.04,콜드브루,5000
2017.04.27,콜드브루,4500
2023.12.10,레몬에이드,4800
2020.04.04,에스프레소,2500
2024.12.16,오렌지주스,5500
2025.02.14,아메리카노,3200
2018.01.23,홍차,3800
2017.06.03,자몽주스,5200
2017.01.15,케이크,5500
2019.05.15,머핀,3500
2022.03.15,바닐라라떼,5300
2016.05.04,자몽주스,5200
2015.04.04,에스프레소,3000
2016.03.18,티,3500
2019.12.23,자몽주스,5200
2015.07.26,바닐라라떼,5300
2019.03.19,커피,3500
2017.11.25,녹차,3800
2025.02.26,레몬에이드,4800
2021.01.22,머핀,3500
2025.11.05,머핀,3500
2024.06.28,에스프레소,3300
2019.12.26,라떼,4500
2021.09.13,아메리카노,3500
2025.06.06,콜드브루,5000
2020.04.16,콜드브루,5500
2020.07.22,케이크,6000
2021.09.09,아메리카노,3500
2025.08.07,스콘,3200
2018.03.11,머핀,3500
2021.09.14,홍차,3800
2020.12.12,홍차,3800
2022.05.07,녹차,3800
2025.06.04,홍차,4100
2023.01.14,홍차,3300
2015.02.27,티,3500
2015.06.25,콜드브루,5000
2023.06.19,자몽주스,4700
2025.01.24,레몬에이드,5100
2019.06.18,아메리카노,3500
2023.02.09,레몬에이드,4300
2023.12.11,티,3500
2023.01.24,스콘,3200
2025.11.30,티,3000
2020.11.13,에스프레소,3500
2023.02.08,베이글,2900
2025.12.23,티,3500
2022.12.03,에스프레소,2500
2021.12.31,샌드위치,5500
2016.04.28,바닐라라떼,5500
2015.08.02,오렌지주스,5200
2016.09.25,에스프레소,3000
2019.12.19,카푸치노,4800
2019.09.04,베이글,3200
2017.12.09,쿠키,2800
2019.09.15,오렌지주스,5700
2023.05.05,머핀,4000
2016.07.15,홍차,4100
2016.06.11,티,3500
2016.04.11,머핀,3500
2023.10.18,머핀,3500
2024.06.29,오렌지주스,5200
2018.01.17,쿠키,2800
2021.08.20,바닐라라떼,5300
2018.02.15,티,3200
2025.09.03,티,3500
2025.12.26,바닐라라떼,5300
2015.06.11,아메리카노,3000
2018.01.14,녹차,3800
2015.04.21,아메리카노,3000
2017.06.30,케이크,6000
2015.10.24,라떼,4800
2016.10.20,케이크,5700
2022.01.29,오렌지주스,5200
2020.05.14,오렌지주스,4900
2018.10.17,레몬에이드,4800
2023.05.09,카푸치노,5000
2024.10.01,라떼,5000
2016.05.05,베이글,3700
2024.03.21,바닐라라떼,5000
2019.10.05,녹차,3800
2024.01.31,카푸치노,4500
2016.09.20,레몬에이드,4800
2021.02.25,콜드브루,5000
2022.05.01,오렌지주스,5200
2016.02.02,베이글,3200
2015.11.18,케이크,5500
2019.11.05,쿠키,2500
2020.06.08,베이글,3200
2024.03.27,커피,3500
2018.06.24,바닐라라떼,5300
2021.10.08,라떼,4800
2018.05.29,스콘,3500
2023.07.27,레몬에이드,4800
2024.11.20,카푸치노,4200
2019.01.05,레몬에이드,4800
2025.03.01,에스프레소,3000
2022.12.15,베이글,3200
2021.09.02,녹차,3800
2020.12.11,홍차,3800
2018.07.24,티,3500
2025.11.07,머핀,3200
2015.12.12,오렌지주스,5700
2019.02.06,커피,4000
2022.08.05,자몽주스,5200
2019.05.07,바닐라라떼,5300
2021.04.28,오렌지주스,5700
2019.05.18,케이크,5700
2024.05.18,쿠키,2500
2016.12.27,콜드브루,4500
2023.07.06,베이글,3700
2018.02.26,커피,3700
2020.10.13,아메리카노,3500
2016.10.11,쿠키,2500
2025.11.02,커피,4300
2024.06.09,샌드위치,5000
2021.07.11,케이크,6000
2023.11.02,케이크,5500
2018.10.02,라떼,4500
2023.04.07,에스프레소,3000
2015.12.13,커피,4300
2022.04.30,카푸치노,4000
2023.05.13,샌드위치,5200
2022.12.27,티,3500
2023.08.01,머핀,3500
2023.07.30,베이글,3200
2018.12.06,레몬에이드,5300
2025.11.10,레몬에이드,5100
2016.07.13,스콘,3200
2021.01.09,라떼,4800
2021.12.06,아메리카노,3500
2023.06.28,오렌지주스,5700
2015.01.16,자몽주스,5700
2016.01.01,베이글,3200
2022.03.07,커피,4000
2019.01.22,커피,4500
2016.03.26,샌드위치,5500
2025.04.08,카푸치노,4200
2023.04.25,콜드브루,5300
2019.03.19,콜드브루,5000
2017.04.17,자몽주스,5200
2020.12.07,홍차,3800
2025.11.16,아메리카노,3500
2018.06.17,에스프레소,3000
2022.04.08,카푸치노,5000
2025.04.25,콜드브루,4500
2023.06.12,베이글,2700
2021.07.20,스콘,3700
2015.05.29,레몬에이드,4300
2017.03.20,콜드브루,5000
2017.06.09,쿠키,2200
2021.09.23,스콘,3200
2020.09.14,티,3500
2017.01.27,녹차,3800
2016.12.07,홍차,4100
2021.02.23,케이크,6000
2024.07.27,녹차,3800
2024.12.13,자몽주스,5200
2022.05.28,케이크,6500
2025.09.24,라떼,4500
2024.09.03,티,3500
2015.07.23,바닐라라떼,4700
2023.12.27,자몽주스,5200
2023.11.30,머핀,4000
2018.01.29,아메리카노,3800
2025.05.13,티,3000
2024.10.20,스콘,3200
2020.01.18,티,3800
2019.09.23,콜드브루,5000
2016.10.04,레몬에이드,4500
2017.11.28,머핀,3200
2022.02.22,녹차,3800
2020.12.29,아메리카노,3200
2021.05.31,콜드브루,4500
2017.04.16,카푸치노,5000
2016.06.09,라떼,4500
2018.01.10,머핀,3000
2024.12.23,스콘,3500
2020.04.03,라떼,4800
2021.07.30,케이크,6500
2020.09.03,홍차,3300
2023.11.08,바닐라라떼,5000
2017.03.01,라떼,5000
2024.04.07,베이글,2900
2015.06.02,케이크,6000
2020.11.23,스콘,2900
2025.08.13,홍차,3800
2018.06.26,자몽주스,4700
2021.03.28,홍차,3800
2022.06.25,라떼,4500
2015.11.01,카푸치노,4000
2022.06.27,자몽주스,5500
2020.03.06,에스프레소,3300
2019.12.29,커피,4500
2019.03.25,스콘,2900
2018.04.17,쿠키,2000
2020.02.20,커피,4500
2024.06.21,바닐라라떼,5000
2016.09.15,홍차,4100
2019.03.21,케이크,6300
2018.05.06,레몬에이드,5300
2019.05.26,케이크,6300
2015.12.23,녹차,3500
2017.03.29,자몽주스,5500
2016.03.24,레몬에이드,4800
2025.08.06,녹차,3800
2020.04.08,레몬에이드,4800
2024.04.09,자몽주스,4700
2016.02.22,카푸치노,4500
2016.01.22,카푸치노,4800
2022.01.26,콜드브루,4700
2017.03.02,자몽주스,4700
2024.05.21,베이글,3200
2022.11.23,라떼,4000
2017.07.17,아메리카노,3200
2016.05.23,샌드위치,5500
2023.08.25,라떼,4500
2025.04.28,샌드위치,5500
2016.07.23,바닐라라떼,5500
2016.08.29,자몽주스,5200
2018.09.19,샌드위치,5500
2015.03.05,자몽주스,5200
2022.11.06,레몬에이드,5300
2023.11.09,티,3800
2021.10.28,머핀,3000
2017.12.03,레몬에이드,4500
2018.11.02,홍차,4100
2019.12.13,에스프레소,3000
2019.03.27,바닐라라떼,5000
2018.09.24,홍차,4300
2016.02.25,콜드브루,5000
2023.08.06,케이크,6000
2021.02.23,티,3500
2021.11.11,머핀,3500
2016.08.03,쿠키,2800
2017.03.22,머핀,3800
2022.12.05,바닐라라떼,5000
2025.08.06,커피,4300
2022.05.25,바닐라라떼,5500
2015.12.07,카푸치노,4200
2020.05.11,쿠키,2500
2022.10.26,레몬에이드,4800
2016.01.11,오렌지주스,5200
2020.03.11,에스프레소,3000
2025.12.01,카푸치노,4200
2025.02.20,쿠키,2500
2021.02.15,케이크,5500
2021.04.14,녹차,3500
2025.03.13,레몬에이드,4800
2016.08.19,에스프레소,3500
2015.01.16,홍차,4100
2025.01.22,오렌지주스,4900
2023.07.04,쿠키,2500
2024.04.25,콜드브루,4700
2021.09.13,케이크,6500
2015.11.09,베이글,2700
2019.07.11,콜드브루,5500
2025.06.05,카푸치노,4500
2023.06.25,자몽주스,5200
2021.08.21,커피,3700
2017.03.28,샌드위치,5500
2015.05.16,카푸치노,4500
2019.05.02,에스프레소,3000
2019.07.20,콜드브루,5000
2020.10.29,카푸치노,4500
2017.09.26,쿠키,2500
2015.08.08,아메리카노,3800
2022.07.11,카푸치노,4500
2025.10.04,스콘,3200
2016.02.24,스콘,3200
2019.08.13,쿠키,3000
2019.07.25,홍차,3800
2024.12.21,베이글,3700
2025.02.25,샌드위치,6000
2019.11.13,에스프레소,3000
2016.04.14,머핀,3500
2020.11.20,머핀,3500
2019.09.18,커피,4000
2025.03.05,아메리카노,3500
2023.02.19,샌드위치,5800
2019.03.23,레몬에이드,5300
2023.11.09,홍차,3800
2024.11.01,라떼,4200
2016.05.24,베이글,2900
2020.08.20,자몽주스,4700
2020.05.02,에스프레소,3000
2025.03.16,티,3500
2018.06.08,자몽주스,4900
2024.11.12,라떼,4800
2025.11.02,오렌지주스,5700
2021.02.15,샌드위치,5500
2024.01.12,콜드브루,4700
2022.04.14,샌드위치,5500
2016.05.17,라떼,4000
2020.10.29,카푸치노,4000
2024.11.22,케이크,6000
2025.08.31,베이글,2700
2018.04.27,티,3800
2018.05.10,커피,4000
2016.12.05,라떼,4500
2025.01.14,베이글,3700
2020.12.12,자몽주스,4900
2018.12.31,쿠키,2200
2015.07.07,홍차,3300
2020.02.07,레몬에이드,4800
2018.08.21,스콘,2900
2025.06.22,스콘,2900
2017.04.10,홍차,4300
2025.05.07,아메리카노,3200
2018.07.17,오렌지주스,5200
2015.03.07,콜드브루,5300
2024.11.12,케이크,5700
2020.12.23,티,3200
2025.08.24,아메리카노,3800
2016.03.10,홍차,4100
2024.03.03,레몬에이드,4800
2024.10.01,샌드위치,5800
2024.11.09,카푸치노,4500
2022.10.21,베이글,3200
2015.11.20,콜드브루,4700
2024.08.29,홍차,3300
2022.12.20,바닐라라떼,5000
2017.01.11,티,3500
2022.06.15,홍차,4300
2018.01.24,오렌지주스,5700
2022.06.04,머핀,3000
2021.08.13,머핀,3200
2025.12.16,홍차,3500
2022.06.25,티,3500
2016.06.26,라떼,4500
2015.11.09,베이글,3200
2015.10.30,머핀,3000
2015.01.29,쿠키,2500
2021.01.09,녹차,3800
2024.01.03,쿠키,2000
2016.11.04,홍차,4300
2017.02.15,티,3200
2018.02.17,케이크,5500
2017.02.02,카푸치노,4000
2021.12.22,베이글,3700
2021.07.23,자몽주스,4700
2025.06.03,스콘,2700
2017.01.06,라떼,4500
2023.09.17,오렌지주스,5200
2022.05.20,스콘,3700
2015.05.11,머핀,3500
2020.09.02,머핀,3800
2025.09.02,케이크,5700
2021.08.29,콜드브루,4500
2021.10.26,샌드위치,5200
2022.06.30,베이글,3200
2023.09.02,녹차,4300
2023.01.12,티,3500
2020.06.26,케이크,5700
2024.07.24,쿠키,2500
2020.08.05,녹차,3300
2017.04.09,아메리카노,3500
2020.01.11,콜드브루,5000
2016.09.13,커피,4000
2020.07.25,샌드위치,5500
2019.12.15,녹차,4300
2023.12.15,커피,3500
2016.04.13,콜드브루,5000
2022.03.05,케이크,6000
2023.11.17,티,3500
2016.08.21,아메리카노,3500
2019.10.09,아메리카노,3800
2018.07.11,머핀,4000
2017.12.20,쿠키,2500
2015.12.29,머핀,3200
2019.04.01,녹차,3500
2016.10.16,스콘,3500
2022.05.23,베이글,2700
2018.07.17,샌드위치,5500
2019.02.01,바닐라라떼,5300
2025.11.19,아메리카노,3200
2020.06.28,카푸치노,4200
2023.05.08,베이글,3200
2023.05.10,아메리카노,3000
2017.09.12,샌드위치,5500
2016.08.02,라떼,4500
2021.03.27,홍차,3800
2019.10.05,라떼,4000
2022.08.16,티,3500
2017.11.03,에스프레소,3000
2024.08.04,티,3500
2020.03.05,라떼,4200
2019.01.30,홍차,3800
2025.08.12,바닐라라떼,4500
2016.10.19,자몽주스,5200
2022.04.15,아메리카노,3800
2018.11.06,쿠키,2800
2025.03.24,쿠키,2200
2020.03.09,자몽주스,5700
2017.05.23,자몽주스,5200
2023.10.06,아메리카노,3200
2019.09.11,오렌지주스,4900
2017.01.22,케이크,6500
2016.11.02,스콘,2900
2019.06.28,바닐라라떼,5000
2020.03.30,홍차,3800
2020.01.06,스콘,3500
2022.08.13,콜드브루,5500
2020.06.18,바닐라라떼,5000
2019.04.18,샌드위치,5000
2015.07.13,녹차,3800
2025.08.21,녹차,3800
2015.03.18,머핀,3200
2023.04.26,녹차,3800
2019.05.29,쿠키,2800
2023.01.08,바닐라라떼,5000
2016.02.28,오렌지주스,4700
2016.09.20,오렌지주스,4900
2023.08.03,티,3800
2024.05.30,에스프레소,2500
2018.08.12,자몽주스,5200
2015.12.07,자몽주스,5200
2017.11.15,머핀,3800
2015.08.13,홍차,3800
2021.10.26,티,3500
2015.06.17,바닐라라떼,4700
2020.10.05,카푸치노,4000
2017.05.04,홍차,3800
2019.10.03,스콘,3200
2022.10.13,카푸치노,4500
2022.12.04,케이크,6000
2018.07.09,베이글,3500
2019.03.25,카푸치노,4200
2024.05.11,녹차,3800
2022.12.29,베이글,3200
2016.07.13,자몽주스,5200
2024.09.17,오렌지주스,4900
2016.02.25,홍차,3800
2018.11.13,바닐라라떼,4700
2015.06.16,커피,4300
2022.01.26,스콘,3200
2015.02.16,홍차,4100
2022.07.09,라떼,5000
2017.06.04,케이크,6300
2018.12.18,에스프레소,3500
2024.09.26,오렌지주스,4900
2023.10.14,녹차,3300
2023.12.19,샌드위치,5000
2019.05.27,스콘,2700
2020.06.29,자몽주스,5200
2018.03.11,스콘,3500
2018.02.20,티,3200
2025.05.18,자몽주스,4900
2020.04.30,콜드브루,5000
2022.06.17,티,3500
2016.01.17,레몬에이드,4800
2024.01.07,카푸치노,4500
2021.07.14,녹차,4100
2024.07.25,케이크,6000
2022.11.07,커피,4000
2016.05.07,오렌지주스,4700
2025.03.26,자몽주스,5200
2015.08.12,자몽주스,5200
2024.06.30,쿠키,2500
2020.04.04,레몬에이드,4800
2015.10.24,커피,3500
2018.11.22,레몬에이드,4800
2021.05.06,홍차,3800
2024.02.21,콜드브루,5300
2020.04.06,자몽주스,5200
2018.10.30,오렌지주스,4700
2021.06.17,바닐라라떼,5500
2015.11.06,아메리카노,3500
2021.02.01,샌드위치,5500
2019.08.30,라떼,4500
2015.10.07,베이글,3200
2019.04.14,자몽주스,4700
2024.01.06,카푸치노,4800
2020.09.07,녹차,3800
2020.07.20,오렌지주스,5200
2025.12.15,커피,3700
2021.10.15,바닐라라떼,5000
2017.07.24,녹차,4100
2017.06.20,티,3500
2015.01.04,케이크,6000
2015.01.15,티,3500
2020.07.14,케이크,5500
2022.01.01,케이크,6500
2022.10.01,레몬에이드,4800
2018.11.20,에스프레소,2500
2018.07.07,바닐라라떼,5300
2019.06.11,콜드브루,4700
2024.03.30,콜드브루,4700
2018.09.26,스콘,3700
2021.04.28,홍차,3800
2019.08.27,홍차,3800
2023.05.26,케이크,6000
2017.08.28,티,3500
2018.08.24,콜드브루,5000
2023.04.09,카푸치노,4000
2015.10.09,에스프레소,3300
2018.06.24,에스프레소,3500
2020.01.24,머핀,4000
2022.08.14,스콘,2700
2016.10.27,샌드위치,6000
2020.05.28,아메리카노,3500
2017.11.05,자몽주스,5200
2023.04.17,자몽주스,5200
2023.01.11,녹차,3800
2023.01.10,레몬에이드,4500
2018.09.29,바닐라라떼,5500
2021.04.28,카푸치노,4500
2019.09.19,카푸치노,4500
2023.04.21,녹차,4300
2016.10.20,카푸치노,4200
2019.03.24,홍차,3500
2022.04.24,콜드브루,4500
2020.04.16,쿠키,2800
2025.07.21,카푸치노,4500
2022.09.17,녹차,3800
2017.10.29,자몽주스,5200
2025.06.20,카푸치노,4000
2016.10.06,에스프레소,3500
2015.06.23,바닐라라떼,5000
2018.12.31,케이크,6500
2016.05.07,자몽주스,5200
2025.02.22,커피,4500
2021.01.31,스콘,2900
2019.03.10,라떼,4500
2019.12.03,홍차,3500
2019.05.24,샌드위치,6000
2016.08.04,쿠키,2500
2022.07.27,바닐라라떼,5000
2018.03.03,카푸치노,4500
2016.12.18,에스프레소,3000
2025.06.20,녹차,3800
2019.11.08,에스프레소,2700
2018.08.18,커피,4000
2021.05.07,쿠키,2200
2018.01.26,자몽주스,5200
2018.08.12,티,3000
2020.05.29,바닐라라떼,5000
2021.03.08,녹차,3800
2015.07.29,카푸치노,4000
2015.01.30,홍차,4100
2015.11.18,커피,3700
2018.10.09,스콘,2900
2023.11.06,바닐라라떼,5500
2019.08.01,스콘,2700
2019.08.26,오렌지주스,5700
2021.04.11,자몽주스,5200
2015.08.25,바닐라라떼,5000
2021.12.01,녹차,3800
2017.02.11,홍차,4300
2017.10.19,베이글,3200
2024.05.07,아메리카노,3200
2024.08.12,커피,3700
2021.01.16,에스프레소,3300
2015.11.02,녹차,3800
2015.04.09,케이크,6000
2015.09.15,머핀,3500
2015.02.12,바닐라라떼,4500
2025.10.04,오렌지주스,4700
2023.08.08,머핀,3500
2024.02.01,티,4000
2025.05.14,스콘,3200
2018.06.15,케이크,6500
2022.06.20,에스프레소,3000
2019.07.06,샌드위치,5500
2025.01.30,커피,3500
2021.06.20,카푸치노,4200
2018.08.18,자몽주스,5500
2019.02.21,머핀,3800
2018.02.07,오렌지주스,5500
2022.02.26,베이글,3200
2018.07.02,녹차,3300
2025.02.24,레몬에이드,4800
2016.01.21,녹차,3800
2017.05.24,콜드브루,4700
2015.07.12,카푸치노,4500
2018.06.01,바닐라라떼,4700
2018.11.24,에스프레소,2700
2016.08.08,오렌지주스,5200
2017.01.16,샌드위치,5000
2015.02.08,자몽주스,5200
2015.08.02,자몽주스,4700
2018.08.09,케이크,6500
2025.09.05,바닐라라떼,4500
2024.11.15,콜드브루,5000
2015.09.30,쿠키,2000
2021.06.28,레몬에이드,4800
2020.04.22,티,3500
2019.07.31,콜드브루,5500
2018.01.24,라떼,4800
2019.05.17,레몬에이드,4500
2023.09.21,오렌지주스,5200
2015.02.11,카푸치노,4800
2022.02.12,자몽주스,5500
2015.08.15,바닐라라떼,5000
2021.11.29,오렌지주스,5200
2024.08.08,샌드위치,5500
2025.11.14,쿠키,2000
2016.05.12,베이글,3200
2022.06.18,베이글,3200
2024.05.19,자몽주스,5200
2017.07.31,자몽주스,5200
2021.01.25,쿠키,2000
2020.10.11,아메리카노,3500
2022.01.13,베이글,3200
2018.03.09,쿠키,2000
2021.09.01,아메리카노,3500
2016.09.14,케이크,6000
2018.09.06,녹차,4100
2021.12.26,레몬에이드,4500
2023.04.06,스콘,3200
2019.07.05,아메리카노,4000
2025.11.09,카푸치노,5000
2025.01.23,스콘,2700
2017.08.16,콜드브루,5500
2025.05.12,카푸치노,5000
2016.04.14,에스프레소,3000
2017.10.28,녹차,3300
2017.01.27,아메리카노,3800
2018.11.03,녹차,3800
2024.01.20,오렌지주스,5200
2017.04.29,케이크,5500
2024.09.15,샌드위치,5200
2020.06.26,녹차,4100
2017.09.04,라떼,4000
2021.03.23,베이글,3700
2023.06.28,스콘,2900
2015.10.23,스콘,3700
2015.08.18,케이크,5500
2023.12.08,카푸치노,5000
2019.02.07,콜드브루,4500
2018.09.29,아메리카노,3500
2025.09.17,티,4000
2018.03.27,에스프레소,3000
2017.01.14,자몽주스,4700
2024.07.10,베이글,3200
2015.10.22,라떼,4800
2017.04.26,케이크,6300
2018.07.19,바닐라라떼,5000
2022.06.30,샌드위치,5500
2015.03.04,레몬에이드,5100
2018.07.15,녹차,4100
2021.10.06,바닐라라떼,5300
2017.05.08,콜드브루,5500
2016.06.08,콜드브루,5300
2021.07.05,베이글,2700
2016.06.12,녹차,3300
2017.11.25,오렌지주스,5200
2021.12.26,오렌지주스,5200
2017.03.14,커피,3500
2022.10.04,바닐라라떼,5300
2023.01.18,오렌지주스,5700
2018.06.24,샌드위치,5200
2016.08.22,라떼,4800
2017.12.24,샌드위치,5500
2024.03.13,샌드위치,5500
2020.02.15,카푸치노,4500
2016.05.21,에스프레소,3000
2020.10.05,샌드위치,5200
2020.07.10,쿠키,2000
2018.03.12,에스프레소,3500
2024.10.31,홍차,4300
2015.11.17,베이글,2900
2025.06.21,스콘,3200
2017.03.24,샌드위치,5500
2017.06.21,베이글,3500
2015.09.20,오렌지주스,5200
2018.09.27,홍차,3800
2019.12.11,녹차,3800
2022.06.03,커피,4300
